ZONA,Provincia,CodigodeProvincia,Canton,CodigodeCanton,Parroquia,CodigodeParroquia,CodigoInstitucion,NombreInstitucion,TipodeEducacion,NivelEducacion,Sostenimiento,ZonaINEC,RegimenEscolar,Jurisdiccion,Modallidad,Jornada,Tenenciadelinmueble,FormaAcceso,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Estudiantes_Docentes
ZONA 5,GUAYAS,9,COLIMES,905,COLIMES,90550,09H03161,ESCUELA DE EDUCACION BASICA REPUBLICA DE COLOMBIA,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,13,8,21,21
ZONA 6,MORONA SANTIAGO,14,SANTIAGO,1405,TAYUZA,140556,14H00311,UNIDAD EDUCATIVA TAYUZA,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,20,7,27,231,242,473,17.51851852
ZONA 7,ZAMORA CHINCHIPE,19,CHINCHIPE,1902,ZUMBA,190250,19H00158,COLEGIO DE BACHILLERATO ZUMBA,Educación Regular,EGB y Bachillerato,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,11,24,35,180,194,374,10.68571429
ZONA 1,CARCHI,4,MONTUFAR,405,CRISTOBAL COLON,40551,04H00370,MANUEL RAZA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,5,8,13,13
ZONA 6,AZUAY,1,CUENCA,101,HERMANO MIGUEL,10115,01H00140,UNIDAD EDUCATIVA LUIS MONSALVE POZO,Educación Regular,EGB y Bachillerato,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,9,5,14,122,135,257,18.35714286
ZONA 3,CHIMBORAZO,6,RIOBAMBA,601,LIZARZABURU,60101,06H01531,COLEGIO DE BACHILLERATO PCEI EBENEZER,Popular Permanente,Educación Básica,Particular Laico,UrbanaINEC,Sierra,Hispana,Semipresencial,Matutina y Vespertina,Arriendo,Terrestre,6,12,18,181,248,429,23.83333333
ZONA 8,GUAYAS,9,GUAYAQUIL,901,FEBRES CORDERO,90104,09H00107,ESCUELA DE EDUCACION BASICA EDUCANDO NIÑOS TAPDEN,Educación Regular,Educación Básica,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Arriendo,Terrestre,3,0,3,27,36,63,21
ZONA 4,MANABI,13,ROCAFUERTE,1312,ROCAFUERTE,131250,13H03147,MARTHA BUCARAM DE ROLDOS,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,2,1,3,27,29,56,18.66666667
ZONA 1,ESMERALDAS,8,QUININDE,804,MALIMPIA,80453,08H00961,ESCUELA DE EDUCACIÓN BÁSOCA LUZ DE AMERICA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,8,5,13,13
ZONA 5,GUAYAS,9,COLIMES,905,COLIMES,90550,09H03095,ESCUELA DE EDUCACION BASICA VEINTIUNO DE NOVIEMBRE,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,20,21,41,41
ZONA 3,CHIMBORAZO,6,RIOBAMBA,601,CALPI,60152,06H00317,UNIDAD EDUCATIVA VICTOR PROAÑO CARRION,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,29,21,50,325,396,721,14.42
ZONA 4,MANABI,13,JIPIJAPA,1306,PEDRO PABLO GOMEZ,130657,13H02056,ESCUELA DE EDUCACION BASICA ANTONIO JOSE DE SUCRE,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,10,6,16,16
ZONA 9,PICHINCHA,17,QUITO,1701,JIPIJAPA,170114,17H01416,ESCUELA DE EDUCACION BASICA PARTICULAR SERGE RAYNAUD DE LA FERRIERE,Educación Regular,Inicial y EGB,Particular Laico,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Arriendo,Terrestre,8,0,8,39,50,89,11.125
ZONA 4,MANABI,13,EL CARMEN,1304,EL CARMEN,130401,13H01450,JESUCRISTO REY,Educación Regular,"Inicial, Educación Básica y Bachillerato",Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,16,6,22,162,140,302,13.72727273
ZONA 7,LOJA,11,LOJA,1101,VALLE,110104,11H02048,CENTRO DE EDUCACION INICIAL PARTICULAR EL RINCON DE LOS ANGELITOS,Educación Regular,Inicial,Particular Laico,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Arriendo,Terrestre,3,0,3,8,5,13,4.333333333
ZONA 9,PICHINCHA,17,QUITO,1701,LA ARGELIA,170116,17H01232,CAMINOS A LA LUZ,Educación Regular,Inicial y EGB,Particular Laico,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,2,6,8,33,49,82,10.25
ZONA 2,ORELLANA,22,LORETO,2204,SAN JOSE DE DAHUANO,220454,22H00491,ESCUELA DE EDUCACION BASICA SIMON BOLIVAR GREFA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,7,4,11,11
ZONA 8,GUAYAS,9,GUAYAQUIL,901,LETAMENDI,90106,09H00618,ESCUELA DE EDUACION BASICA PARTICULAR MATILDE HIDALGO DE PROCEL,Educación Regular,Educación Básica,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,8,0,8,61,81,142,17.75
ZONA 5,LOS RIOS,12,BABAHOYO,1201,CLEMENTE BAQUERIZO,120101,12H00061,UNIDAD EDUCATIVA MARIA ANDREA,Educación Regular,"Inicial, Educación Básica y Bachillerato",Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,35,13,48,508,472,980,20.41666667
ZONA 5,GUAYAS,9,PEDRO CARBO,914,PEDRO CARBO,91450,09H04608,ESCUELA DE EDUCACION BASICA JUAN LINO HOLGUIN,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,20,16,36,36
ZONA 4,MANABI,13,CHONE,1303,SANTA RITA,130302,13H01107,CARLOS MARIA CASTRO,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,15,1,16,186,226,412,25.75
ZONA 7,EL ORO,7,PIÑAS,710,MOROMORO,71053,07H00977,ESCUELA DE EDUCACIÓN BÁSICA PEDRO FERMIN CEVALLOS,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,2,0,2,12,13,25,12.5
ZONA 2,ORELLANA,22,ORELLANA,2201,SAN LUIS DE ARMENIA,220161,22B00019,CECIB CHASKI,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,1,0,1,12,7,19,19
ZONA 5,GUAYAS,9,GENERAL ANTONIO ELIZALDE,927,GENERAL ANTONIO ELIZALDE (BUCAY),92750,09H05174,UNIDAD EDUCATIVA MADRE BERNARDA BÜTLER,Educación Regular,"Inicial, Educación Básica y Bachillerato",Particular Religioso,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,18,2,20,228,208,436,21.8
ZONA 7,LOJA,11,SOZORANGA,1112,TACAMOROS,111252,11H01537,ESCUELA DE EDUCACION BASICA JUAN FRANCISCO PINZON,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,2,3,18,14,32,10.66666667
ZONA 6,AZUAY,1,CUENCA,101,TARQUI,10168,01H00870,ESCUELA DE EDUCACIÓN BÁSICA ZOILA CARMEN ALVARADO,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,2,0,2,15,10,25,12.5
ZONA 7,LOJA,11,CHAGUARPAMBA,1105,EL ROSARIO,110552,11H00827,ESCUELA DE EDUCACION BASICA OLIMPIA DE MENDIETA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,2,4,6,6
ZONA 7,LOJA,11,CELICA,1104,POZUL (SAN JUAN DE POZUL),110455,11H00764,ESCUELA DE EDUCACION BASICA DR JOSE JAVIER EGUIGUREN,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,5,5,10,10
ZONA 9,PICHINCHA,17,QUITO,1701,LA CONCEPCION,170117,17H01342,ESCUELA DE EDUCACION BASICA FISCAL JOSE ENRIQUE RODO,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,19,2,21,252,281,533,25.38095238
ZONA 4,MANABI,13,PEDERNALES,1317,ATAHUALPA,131753,13H04054,9 DE OCTUBRE,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,12,14,26,26
ZONA 9,PICHINCHA,17,QUITO,1701,EL CONDADO,170110,17H04296,CDIPI PABLO PICASSO,Educación Regular,Inicial,Particular Religioso,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Arriendo,Terrestre,2,0,2,8,6,14,7
ZONA 5,GUAYAS,9,SAN JACINTO DE YAGUACHI,920,GRAL. PEDRO J. MONTERO (BOLICHE),92053,09H02707,ESCUELA DE EDUCACION BASICA AB JAIME HURTADO GONZALEZ,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,2,1,3,25,42,67,22.33333333
ZONA 7,LOJA,11,SARAGURO,1111,SUMAYPAMBA,111160,11H01475,ESCUELA DE EDUCACIÓN BÁSICA CIUDAD DE ZUMBA,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,2,0,2,6,9,15,7.5
ZONA 9,PICHINCHA,17,QUITO,1701,COCHAPAMBA,170104,17H04272,CENTRO DE DESARROLLO INTEGRAL PARA LA PRIMERA INFANCIA JATARINA,Educación Regular,Inicial,Particular Religioso,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Arriendo,Terrestre,5,0,5,27,14,41,8.2
ZONA 3,CHIMBORAZO,6,RIOBAMBA,601,SAN LUIS,60161,06H00226,UNIDAD EDUCATIVA AMERICAN HIGH SCHOOL,Educación Regular,"Inicial, Educación Básica y Bachillerato",Particular Laico,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,11,3,14,43,67,110,7.857142857
ZONA 5,GUAYAS,9,PALESTINA,913,PALESTINA,91350,09H06080,ESCUELA DE EDUCACION BASICA JUSTO LAURENCE CEDEÑO CAMPUSANO,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,13,7,20,20
ZONA 4,MANABI,13,CHONE,1303,SANTA RITA,130302,13H01087,8 DE DICIEMBRE,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,5,7,12,12
ZONA 6,CAÑAR,3,LA TRONCAL,304,MANUEL J. CALLE,30451,03H00532,ESCUELA DE EDUCACION BASICA VIRGILIO SACOTO,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,2,0,2,19,16,35,17.5
ZONA 4,MANABI,13,ROCAFUERTE,1312,ROCAFUERTE,131250,13H03109,JOSE ALEJANDRO BERMUDEZ FARIAS,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,11,2,13,108,110,218,16.76923077
ZONA 5,LOS RIOS,12,MONTALVO,1203,MONTALVO,120350,12H02509,ESCUELA DE EDUCACION BASICA EVITA ESTRADA,Educación Regular,Educación Básica,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,7,0,7,109,121,230,32.85714286
ZONA 4,MANABI,13,MANTA,1308,SANTA MARIANITA (BOCA DE PACOCHE),130852,13H02664,"ESCUELA DE   EDUCACIÓN BÁSICA “SUCRE NO. 10""",Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Comodato,Terrestre,2,0,2,16,8,24,12
ZONA 3,COTOPAXI,5,LATACUNGA,501,POALO,50158,05B00009,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGÜE DE EDUCACION BASICA JOSE CRUZ CHOLOQUINGA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,1,1,2,14,19,33,16.5
ZONA 4,MANABI,13,SANTA ANA,1313,AYACUCHO,131351,13H04687,ESCUELA DE EDUCACION BASICA LUIS ALBERTO GILER GILER,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,4,2,6,6
ZONA 7,ZAMORA CHINCHIPE,19,YANTZAZA (YANZATZA),1905,CHICAÑA,190551,19B00099,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGUE DE EDUCACION BASICA SIMON RODRIGUEZ,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,1,0,1,5,11,16,16
ZONA 5,LOS RIOS,12,BABAHOYO,1201,CLEMENTE BAQUERIZO,120101,12H00025,UNIDAD EDUCATIVA FRANCISCO HUERTA RENDON,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,64,14,78,929,918,1847,23.67948718
ZONA 5,BOLIVAR,2,GUARANDA,201,GABRIEL IGNACIO VEINTIMILLA,20102,02B00007,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGUE INTI CHURI,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Sierra,Bilingüe,Presencial,Matutina,Comodato,Terrestre,7,9,16,92,94,186,11.625
ZONA 4,MANABI,13,CHONE,1303,CANUTO,130352,13H01180,ARSENIO DUEÑAS,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,1,2,10,11,21,10.5
ZONA 6,AZUAY,1,SEVILLA DE ORO,113,SEVILLA DE ORO,11350,01H01498,UNIDAD EDUCATIVA SEVILLA DE ORO,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,14,6,20,175,185,360,18
ZONA 7,LOJA,11,PUYANGO,1110,EL LIMO (MARIANA DE JESUS),111053,11H01338,ESCUELA DE EDUCACION BASICA RIO COCA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,5,4,9,9
ZONA 3,PASTAZA,16,ARAJUNO,1604,CURARAY,160451,16B00178,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGUE DAYUMA,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Aérea,0,1,1,1,5,6,6
